NCTId,BriefTitle,Condition,Phase,StudyType,InterventionType,InterventionName,Enrollment,StartDate,PrimaryCompletionDate,OverallStatus,LeadSponsorName,planned_enrollment,num_conditions,num_interventions,planned_duration_days,sponsor_type_industry,intervention_type,start_year,has_multiple_conditions,has_multiple_interventions,is_large_trial,label
NCT04273269,A Safety and Efficacy Study of LYS-GM101 Gene Therapy in Patients With GM1 Gangliosidosis,GM1 Gangliosidosis,PHASE1; PHASE2,INTERVENTIONAL,GENETIC,LYS-GM101,5,2021-05-11,2023-05-22,TERMINATED,LYSOGENE,5.0,1,1,741.0,0,GENETIC,2021.0,0,0,0,0.0
NCT00053183,Surgery Followed by Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme,Brain and Central Nervous System Tumors,PHASE1,INTERVENTIONAL,PROCEDURE; RADIATION; RADIATION,conventional surgery; brachytherapy; radiation therapy,,2003-10,,COMPLETED,National Cancer Institute (NCI),,1,3,,0,PROCEDURE,2003.0,0,1,0,1.0
NCT01939769,Effects of Exercise on Memory in Healthy and Brain-Injured Individuals,Traumatic Brain Injury,PHASE1,INTERVENTIONAL,OTHER; OTHER,Exercise - Low-intensity exercise; Exercise - High-intensity exercise,42,2013-08-31,2015-05-21,TERMINATED,National Institute of Neurological Disorders and Stroke (NINDS),42.0,1,2,628.0,0,OTHER,2013.0,0,1,0,0.0
NCT01209156,Evaluation of [18F] PBR111 and PET as a Marker of Inflammation in Subjects With Neurological Conditions,Alzheimer Disease,PHASE1,INTERVENTIONAL,DRUG,[18F] PBR111,11,2010-03,2013-06,COMPLETED,Institute for Neurodegenerative Disorders,11.0,1,1,1188.0,0,DRUG,2010.0,0,0,0,1.0
NCT06539260,Clinical Relationship Between Vitamin D-mediated Th17 and Treg Cells and Parkinson's Disease,Neurology; Immunology,EARLY_PHASE1,INTERVENTIONAL,DRUG; DRUG,Vitamin D; Placebo,30,2023-01-01,2024-07-01,COMPLETED,Suzhou Municipal Hospital of Anhui Province,30.0,2,2,547.0,1,DRUG,2023.0,1,1,0,1.0
NCT02134080,FAAH Inhibitor Trial for Adults With Tourette Syndrome,Tourette Syndrome,PHASE1,INTERVENTIONAL,DRUG; DRUG,PF-04457845; Placebo,5,2014-05,2017-03,TERMINATED,Yale University,5.0,1,2,1035.0,0,DRUG,2014.0,0,1,0,0.0
NCT04587583,WeCareAdvisor: A Web-Based Tool to Improve Quality of Life for Military Veterans With Dementia and Their Caregivers,Dementia; Caregiver; Memory Disorders; Alzheimer Disease; Behavioral Symptoms,PHASE1; PHASE2,INTERVENTIONAL,BEHAVIORAL,WeCareAdvisor,19,2020-10-19,2021-10-21,COMPLETED,University of Michigan,19.0,5,1,367.0,0,BEHAVIORAL,2020.0,1,0,0,1.0
NCT03095105,Pharmacokinetic Profile of BIA 6-512 in Healthy Elderly Subjects Versus Healthy Young Subjects,Parkinson Disease,PHASE1,INTERVENTIONAL,DRUG,200 mg BIA 6-512,25,2006-01-24,2006-03-02,COMPLETED,Bial - Portela C S.A.,25.0,1,1,37.0,0,DRUG,2006.0,0,0,0,1.0
NCT03439982,Fecal Transplant for Hepatic Encephalopathy,Hepatic Encephalopathy,PHASE1; PHASE2,INTERVENTIONAL,BIOLOGICAL,FMT,3,2016-04-12,2019-08-07,COMPLETED,University of Alberta,3.0,1,1,1212.0,0,BIOLOGICAL,2016.0,0,0,0,1.0
NCT06985303,Cell-Based Therapy for White Matter Repair in Periventricular Leukomalacia,Periventricular Leukomalacia; White Matter Disease; Hypoxic-Ischemic Encephalopathy; Demyelinating Diseases; Neonatal Encephalopathy,EARLY_PHASE1,INTERVENTIONAL,COMBINATION_PRODUCT,Investigational Combination Product,0,2027-01-01,2030-01-01,WITHDRAWN,MGAM LLC,0.0,5,1,1096.0,1,COMBINATION_PRODUCT,2027.0,1,0,0,0.0
NCT01765218,Topiramate in Neonates Receiving Whole Body Cooling for Hypoxic Ischemic Encephalopathy,Hypoxic Ischemic Encephalopathy,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,Topiramate; Placebo,34,2013-02,2022-01-27,TERMINATED,Kristin R Hoffman,34.0,1,2,3282.0,0,DRUG,2013.0,0,1,0,0.0
NCT00238030,Thyroxine Replacement in Organ Donors,Brain Death,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,L-thryoxine; iv thryoxine,34,2004-12,2009-05,COMPLETED,London Health Sciences Centre Research Institute OR Lawson Research Institute of St. Joseph's,34.0,1,2,1612.0,0,DRUG,2004.0,0,1,0,1.0
NCT01445067,Study to Evaluate the PK of BMS-927711 in Patient With Migraine During Acute Migraine and Non-migraine Condition,Migraine,PHASE1,INTERVENTIONAL,DRUG; DRUG,BMS-927711 (CGRP Antagonist); BMS-927711 (CGRP Antagonist),48,2011-11,2012-09,COMPLETED,Pfizer,48.0,1,2,305.0,0,DRUG,2011.0,0,1,0,1.0
NCT00181064,Atkins Diet for Difficult-to-Control Headaches in Teenagers,Chronic Daily Headache,PHASE1,INTERVENTIONAL,BEHAVIORAL,Modified Atkins diet,10,2005-09,2009-06,COMPLETED,Johns Hopkins University,10.0,1,1,1369.0,0,BEHAVIORAL,2005.0,0,0,0,1.0
NCT06450236,Bioequivalence Study of Perampanel Tablets 10 mg,Epilepsy,PHASE1,INTERVENTIONAL,DRUG; DRUG,Perampanel 10 MG; Fycompa 10Mg Tablet,30,2023-11-22,2023-11-26,COMPLETED,Humanis Saglık Anonim Sirketi,30.0,1,2,4.0,0,DRUG,2023.0,0,1,0,1.0
NCT02350634,18F-AV-1451 High Resolution Autopsy Study,Alzheimer's Disease,PHASE1,INTERVENTIONAL,DRUG,Flortaucipir F18,3,2016-11-26,2017-06-16,COMPLETED,Avid Radiopharmaceuticals,3.0,1,1,202.0,1,DRUG,2016.0,0,0,0,1.0
NCT02095132,Adavosertib and Irinotecan Hydrochloride in Treating Younger Patients With Relapsed or Refractory Solid Tumors,"Central Nervous System Embryonal Tumor With Rhabdoid Features; Central Nervous System Embryonal Tumor, Not Otherwise Specified; Central Nervous System Ganglioneuroblastoma; Embryonal Tumor With Multilayered Rosettes, C19MC-Altered; Pineoblastoma; Primary Central Nervous System Neoplasm; Recurrent Childhood Central Nervous System Embryonal Neoplasm; Recurrent Malignant Solid Neoplasm; Recurrent Medulloblastoma; Recurrent Neuroblastoma; Recurrent Rhabdomyosarcoma; Refractory Malignant Solid Neoplasm; Refractory Medulloblastoma; Refractory Neuroblastoma; Refractory Rhabdomyosarcoma",PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,Adavosertib; Irinotecan Hydrochloride,76,2014-03-28,2020-12-31,COMPLETED,National Cancer Institute (NCI),76.0,15,2,2470.0,0,DRUG,2014.0,1,1,0,1.0
NCT05573698,Study to Evaluate Multiple Ascending Dose and Multi-Dose of DT-216 in Adult Patients With Friedreich Ataxia,Friedreich Ataxia,PHASE1,INTERVENTIONAL,DRUG; DRUG,DT-216; Placebo,32,2022-09-27,2023-08-25,COMPLETED,"Design Therapeutics, Inc.",32.0,1,2,332.0,1,DRUG,2022.0,0,1,0,1.0
NCT03926702,Tau Imaging With JNJ067,Alzheimer Disease; Mild Cognitive Impairment; Progressive Supranuclear Palsy,EARLY_PHASE1,INTERVENTIONAL,DRUG,Radiopharmaceuticals,18,2019-06-18,2021-01-06,COMPLETED,"University of California, Berkeley",18.0,3,1,568.0,0,DRUG,2019.0,1,0,0,1.0
NCT05394064,A Study to Evaluate Administration of SBT101 Gene Therapy in Adult Patients With Adrenomyeloneuropathy (AMN),AMN; AMN Gene Mutation; X-ALD,PHASE1; PHASE2,INTERVENTIONAL,GENETIC; PROCEDURE,SBT101; Imitation Procedure,8,2022-11-17,2025-06-30,TERMINATED,"SwanBio Therapeutics, Inc.",8.0,3,2,956.0,1,GENETIC,2022.0,1,1,0,0.0
NCT01480609,Effect of Haemodialysis on the Pharmacokinetics of Ezogabine/Retigabine and Its N-acetyl Metabolite,Epilepsy,PHASE1,INTERVENTIONAL,DRUG,Retigabine / Ezogabine,8,2011-11-30,2012-04-24,COMPLETED,GlaxoSmithKline,8.0,1,1,146.0,0,DRUG,2011.0,0,0,0,1.0
NCT01350453,Development and Pilot Evaluation of a Web-supported Programme of Constraint Induced Therapy Following Stroke (LifeCIT),Stroke,PHASE1; PHASE2,INTERVENTIONAL,BEHAVIORAL; BEHAVIORAL,LifeCIT; Standard Care,19,2011-05,2014-12,COMPLETED,University of Southampton,19.0,1,2,1310.0,0,BEHAVIORAL,2011.0,0,1,0,1.0
NCT00049712,Monoclonal Antibody Therapy in Treating Patients With Refractory Advanced Solid Tumors or Lymphoma,"Lymphoma; Small Intestine Cancer; Unspecified Adult Solid Tumor, Protocol Specific",PHASE1,INTERVENTIONAL,BIOLOGICAL,etaracizumab,,2002-10,2006-02,COMPLETED,"University of Wisconsin, Madison",,3,1,1219.0,0,BIOLOGICAL,2002.0,1,0,0,1.0
NCT01231919,MK2206 in Treating Younger Patients With Recurrent or Refractory Solid Tumors or Leukemia,"Accelerated Phase Chronic Myelogenous Leukemia; Acute Leukemias of Ambiguous Lineage; Acute Myeloid Leukemia/Transient Myeloproliferative Disorder; Acute Undifferentiated Leukemia; Aggressive NK-cell Leukemia; Atypical Chronic Myeloid Leukemia, BCR-ABL1 Negative; Blastic Phase Chronic Myelogenous Leukemia; Blastic Plasmacytoid Dendritic Cell Neoplasm; Childhood Burkitt Lymphoma; Childhood Chronic Myelogenous Leukemia; Childhood Diffuse Large Cell Lymphoma; Childhood Grade III Lymphomatoid Granulomatosis; Childhood Immunoblastic Large Cell Lymphoma; Childhood Nasal Type Extranodal NK/T-cell Lymphoma; Chronic Eosinophilic Leukemia; Chronic Myelomonocytic Leukemia; Chronic Neutrophilic Leukemia; Chronic Phase Chronic Myelogenous Leukemia; Intraocular Lymphoma; Juvenile Myelomonocytic Leukemia; Mast Cell Leukemia; Myeloid/NK-cell Acute Leukemia; Noncutaneous Extranodal Lymphoma; Post-transplant Lymphoproliferative Disorder; Primary Central Nervous System Hodgkin Lymphoma; Primary Central Nervous System Non-Hodgkin Lymphoma; Progressive Hairy Cell Leukemia, Initial Treatment; Prolymphocytic Leukemia; Recurrent Childhood Acute Lymphoblastic Leukemia; Recurrent Childhood Acute Myeloid Leukemia; Recurrent Childhood Anaplastic Large Cell Lymphoma; Recurrent Childhood Grade III Lymphomatoid Granulomatosis; Recurrent Childhood Large Cell Lymphoma; Recurrent Childhood Lymphoblastic Lymphoma; Recurrent Childhood Small Noncleaved Cell Lymphoma; Recurrent Grade 1 Follicular Lymphoma; Recurrent Grade 2 Follicular Lymphoma; Recurrent Grade 3 Follicular Lymphoma; Recurrent Mantle Cell Lymphoma; Recurrent Marginal Zone Lymphoma; Recurrent Mycosis Fungoides/Sezary Syndrome; Recurrent Small Lymphocytic Lymphoma; Recurrent/Refractory Childhood Hodgkin Lymphoma; Refractory Chronic Lymphocytic Leukemia; Refractory Hairy Cell Leukemia; Relapsing Chronic Myelogenous Leukemia; Secondary Acute Myeloid Leukemia; Small Intestine Lymphoma; Splenic Marginal Zone Lymphoma; Unspecified Childhood Solid Tumor, Protocol Specific; Waldenström Macroglobulinemia",PHASE1,INTERVENTIONAL,DRUG; OTHER; OTHER,Akt inhibitor MK2206; diagnostic laboratory biomarker analysis; pharmacological study,45,2011-01,2013-04,COMPLETED,National Cancer Institute (NCI),45.0,51,3,821.0,0,DRUG,2011.0,1,1,0,1.0
NCT00568698,A Pilot Therapeutic Trial Using Hydroxyurea in Type I Spinal Muscular Atrophy Patients,"Muscular Atrophy, Spinal",PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,Hydroxyurea; Placebo to match hydroxyurea,29,2004-01,2012-02,COMPLETED,Stanford University,29.0,1,2,2953.0,0,DRUG,2004.0,0,1,0,1.0
NCT00713921,Neuropathic Investigation and Anticholinergic Treatment of Bladder Dysfunction in Diabetes and Stroke Patients,Urinary Incontinence; Bladder Dysfunction,EARLY_PHASE1,INTERVENTIONAL,DRUG,Fesoterodine Oral Product,0,2009-09-15,2014-01-17,WITHDRAWN,Saint Thomas Health,0.0,2,1,1585.0,0,DRUG,2009.0,1,0,0,0.0
NCT00845000,Acute Effects of Preladenant (SCH 420814) on Dyskinesia and Parkinsonism in Levodopa Treated Participants (P05550),Parkinson Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG; DRUG; DRUG,SCH 420814 10 mg; SCH 420814 100 mg; Placebo; Levodopa; Carbidopa,12,2009-04-21,2010-04-30,COMPLETED,Merck Sharp & Dohme LLC,12.0,1,5,374.0,1,DRUG,2009.0,0,1,0,1.0
NCT00563732,Study Evaluating Potential Pharmacokinetic (PK) Interaction Between Lecozotan and Digoxin,Alzheimer Disease,PHASE1,INTERVENTIONAL,DRUG,Lecozotan,,2007-12,2008-09,COMPLETED,Wyeth is now a wholly owned subsidiary of Pfizer,,1,1,275.0,0,DRUG,2007.0,0,0,0,1.0
NCT01820663,Dietary Intervention With the Modified Atkins Diet in Stroke Rehabilitation,Stroke; Ischemic Stroke,PHASE1; PHASE2,INTERVENTIONAL,OTHER; OTHER,Modified Atkins Diet; Control diet,20,2012-03,2014-05,COMPLETED,Burke Rehabilitation Hospital,20.0,2,2,791.0,0,OTHER,2012.0,1,1,0,1.0
NCT00212745,Pilot Trial of a Behavioral Treatment for Epilepsy,"Epilepsies, Partial",PHASE1; PHASE2,INTERVENTIONAL,BEHAVIORAL,Andrews/Reiter behavioral treatment for epilepsy,8,2004-02,2009-03,COMPLETED,Oregon Health and Science University,8.0,1,1,1855.0,0,BEHAVIORAL,2004.0,0,0,0,1.0
NCT03262636,"Two-Part Study to Evaluate the Safety and Efficacy of Image Guided Surgery Using Indocyanine Green for Intramolecular Imaging of Nervous System Tumors Compared to Standard of Care, (TumorGlow)","Brain Tumor, Primary; Brain Tumor, Recurrent",PHASE1,INTERVENTIONAL,DRUG,Indocyanine Green,363,2015-06,2020-03-10,COMPLETED,University of Pennsylvania,363.0,2,1,1744.0,0,DRUG,2015.0,1,0,1,1.0
NCT04776499,"Possible Effects of Propylthiouracil, Riociguat and Perphenazine on Circulation of Healthy Volunteers",Drug Drug Interaction; Safety Issues,PHASE1,INTERVENTIONAL,DRUG,"Propylthiouracil, Riociguat, Perphenazine",8,2021-03-18,2022-02-28,COMPLETED,Maastricht University,8.0,2,1,347.0,0,DRUG,2021.0,1,0,0,1.0
NCT02515695,Phase I BP Interferon (IFN) Beta-001,"Multiple Sclerosis, Relapsing-Remitting",PHASE1,INTERVENTIONAL,DRUG,Interferon beta-1a,12,2005-05,2005-07,COMPLETED,Centre Hospitalier Universitaire Vaudois,12.0,1,1,61.0,0,DRUG,2005.0,0,0,0,1.0
NCT04015557,Effect of Acetaminophen and N-Acetylcysteine on Liver Metabolism on Homocystinuria,CBS Deficiency,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,Acetaminophen; N-acetylcysteine,10,2022-02-11,2022-06-30,SUSPENDED,Hospital de Clinicas de Porto Alegre,10.0,1,2,139.0,0,DRUG,2022.0,0,1,0,0.0
NCT00464334,A Study of V950 in People With Alzheimer Disease (V950-001 AM7),Alzheimer Disease,PHASE1,INTERVENTIONAL,BIOLOGICAL; BIOLOGICAL; BIOLOGICAL,V950; ISCOMATRIX™; Placebo to V950,86,2007-03,2012-01,COMPLETED,Merck Sharp & Dohme LLC,86.0,1,3,1767.0,1,BIOLOGICAL,2007.0,0,1,0,1.0
NCT00004644,Phase I/II Study of High-Dose Acyclovir for Central Nervous System or Disseminated Neonatal Herpes Simplex Virus Infection,Herpes Simplex,PHASE1; PHASE2,INTERVENTIONAL,DRUG,acyclovir,25,1995-02,,COMPLETED,National Center for Research Resources (NCRR),25.0,1,1,,0,DRUG,1995.0,0,0,0,1.0
NCT00499200,"Study Evaluating Safety, Tolerability, Pharmacokinetics and 5 HT1A Receptor Occupancy",Alzheimer's Disease,PHASE1,INTERVENTIONAL,DRUG,SRA-444,42,2007-10,2008-06,COMPLETED,Wyeth is now a wholly owned subsidiary of Pfizer,42.0,1,1,244.0,0,DRUG,2007.0,0,0,0,1.0
NCT01500707,Single Dose Study to Assess the Pharmacokinetics of SCH 900800 in Subjects With Parkinson's Disease Being Treated With Levodopa (L-DOPA) (P08235),Parkinson's Disease,PHASE1,INTERVENTIONAL,DRUG,SCH 900800,0,2013-01,2013-07,WITHDRAWN,Merck Sharp & Dohme LLC,0.0,1,1,181.0,1,DRUG,2013.0,0,0,0,0.0
NCT02462161,Study of Nasal Insulin to Fight Forgetfulness - Short-Acting Insulin Aspart,Alzheimer's Disease; Mild Cognitive Impairment,PHASE1,INTERVENTIONAL,DRUG; DRUG,Insulin aspart; Placebo,24,2015-03-20,2019-04-16,COMPLETED,Wake Forest University Health Sciences,24.0,2,2,1488.0,0,DRUG,2015.0,1,1,0,1.0
NCT01486654,Transcranial Direct Current Stimulation and Aphasia Language Therapy,Nonfluent Aphasia; Stroke,PHASE1,INTERVENTIONAL,DEVICE; DEVICE; DEVICE,Transcranial Direct Current Stimulation - Cathodal stimulation; Transcranial Direct Current Stimulation - Anodal stimulation; Transcranial Direct Current Stimulation - Sham stimulation,12,2010-03,2016-12,COMPLETED,Shirley Ryan AbilityLab,12.0,2,3,2467.0,0,DEVICE,2010.0,1,1,0,1.0
NCT01049451,Pulse ACTH vs. MP for MS,Multiple Sclerosis,PHASE1,INTERVENTIONAL,DRUG; DRUG,ACTH; Methylprednisolone,23,2009-11,2013-06,COMPLETED,University of Southern California,23.0,1,2,1308.0,0,DRUG,2009.0,0,1,0,1.0
NCT01511497,"Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics Study Of PF-04427429 In Healthy Women Volunteers",Pain; Migraine Disorders,PHASE1,INTERVENTIONAL,BIOLOGICAL; OTHER,PF-04427429; Normal saline,31,2011-10,2013-01,COMPLETED,Pfizer,31.0,2,2,458.0,0,BIOLOGICAL,2011.0,1,1,0,1.0
NCT03716570,"A Study to Evaluate Safety, Tolerability, Pharmacokinetics, and Pharmacodynamics of BIIB054 in Japanese Participants With Parkinson's Disease",Parkinson's Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG,BIIB054; Placebo,24,2019-03-12,2021-04-23,TERMINATED,Biogen,24.0,1,2,773.0,0,DRUG,2019.0,0,1,0,0.0
NCT04678453,Safety of SNK01 in Subjects With Alzheimer's Disease (ASK-AD),Alzheimer Disease; Neuro-Degenerative Disease,PHASE1,INTERVENTIONAL,BIOLOGICAL,SNK01,10,2021-01-06,2023-08-16,TERMINATED,"NKGen Biotech, Inc.",10.0,2,1,952.0,1,BIOLOGICAL,2021.0,1,0,0,0.0
NCT00638196,Placebo vs. Linoleic Acid Controlled Assessment of Treatment Efficacy in MS,Multiple Sclerosis,PHASE1,INTERVENTIONAL,DRUG,Linoleic Acid/Oleic Acid,9,2008-03,2012-09,TERMINATED,University of Rochester,9.0,1,1,1645.0,0,DRUG,2008.0,0,0,0,0.0
NCT05857527,Extending taVNS Paired With Infant CIMT Into a Home-Based Setting,Cerebral Palsy,EARLY_PHASE1,INTERVENTIONAL,COMBINATION_PRODUCT; COMBINATION_PRODUCT,Custom EMG triggered Soterix taVNS stimulation with CIMT therapy in lab; Custom EMG triggered Soterix taVNS stimulation with CIMT therapy in home,4,2023-04-17,2024-03-30,COMPLETED,Medical University of South Carolina,4.0,1,2,348.0,0,COMBINATION_PRODUCT,2023.0,0,1,0,1.0
NCT02912169,Study to Assess the Safety and Effects of Autologous Adipose-Derived Stromal Cells in Patients With Alzheimer's Disease,Alzheimer's Disease,PHASE1; PHASE2,INTERVENTIONAL,PROCEDURE; BIOLOGICAL,Liposuction under local anesthesia; Infusion of AD-SVF via IV and Intranasal,0,2015-11-01,2017-11-15,WITHDRAWN,Ageless Regenerative Institute,0.0,1,2,745.0,0,PROCEDURE,2015.0,0,1,0,0.0
NCT01257594,EGFR Inhibition Using Weekly Erlotinib for Recurrent Malignant Gliomas,Brain Cancer,PHASE1,INTERVENTIONAL,DRUG; PROCEDURE,erlotinib; Cytoreductive Surgery,22,2011-01-07,2016-11-22,COMPLETED,"Andrew B Lassman, MD",22.0,1,2,2146.0,0,DRUG,2011.0,0,1,0,1.0
NCT04067960,Pharmacogenomics Testing in the Optimal Use of Supportive Care Medications in Stage III-IV Cancer,Anatomic Stage III Breast Cancer AJCC v8; Anatomic Stage IIIA Breast Cancer AJCC v8; Anatomic Stage IIIB Breast Cancer AJCC v8; Anatomic Stage IIIC Breast Cancer AJCC v8; Anatomic Stage IV Breast Cancer AJCC v8; Biliary Tract Carcinoma; Clinical Stage III Cutaneous Melanoma AJCC v8; Clinical Stage IV Cutaneous Melanoma AJCC v8; Malignant Brain Neoplasm; Malignant Genitourinary System Neoplasm; Malignant Solid Neoplasm; Pancreatobiliary Carcinoma; Pathologic Stage III Cutaneous Melanoma AJCC v8; Pathologic Stage IIIA Cutaneous Melanoma AJCC v8; Pathologic Stage IIIB Cutaneous Melanoma AJCC v8; Pathologic Stage IIIC Cutaneous Melanoma AJCC v8; Pathologic Stage IV Cutaneous Melanoma AJCC v8; Prognostic Stage III Breast Cancer AJCC v8; Prognostic Stage IIIA Breast Cancer AJCC v8; Prognostic Stage IIIB Breast Cancer AJCC v8; Prognostic Stage IIIC Breast Cancer AJCC v8; Prognostic Stage IV Breast Cancer AJCC v8; Stage III Colorectal Cancer AJCC v8; Stage III Ovarian Cancer AJCC v8; Stage III Pancreatic Cancer AJCC v8; Stage III Prostate Cancer AJCC v8; Stage IIIA Colorectal Cancer AJCC v8; Stage IIIA Ovarian Cancer AJCC v8; Stage IIIA Prostate Cancer AJCC v8; Stage IIIB Colorectal Cancer AJCC v8; Stage IIIB Ovarian Cancer AJCC v8; Stage IIIB Prostate Cancer AJCC v8; Stage IIIC Colorectal Cancer AJCC v8; Stage IIIC Ovarian Cancer AJCC v8; Stage IIIC Prostate Cancer AJCC v8; Stage IV Colorectal Cancer AJCC v8; Stage IV Ovarian Cancer AJCC v8; Stage IV Pancreatic Cancer AJCC v8; Stage IV Prostate Cancer AJCC v8; Stage IVA Colorectal Cancer AJCC v8; Stage IVA Ovarian Cancer AJCC v8; Stage IVA Pancreatic Cancer; Stage IVA Prostate Cancer AJCC v8; Stage IVB Colorectal Cancer AJCC v8; Stage IVB Ovarian Cancer AJCC v8; Stage IVB Pancreatic Cancer; Stage IVB Prostate Cancer AJCC v8; Stage IVC Colorectal Cancer AJCC v8,EARLY_PHASE1,INTERVENTIONAL,PROCEDURE; OTHER; OTHER; OTHER,Biospecimen Collection; Genetic Testing; Quality-of-Life Assessment; Questionnaire Administration,197,2019-06-06,2022-10-06,COMPLETED,Mayo Clinic,197.0,48,4,1218.0,0,PROCEDURE,2019.0,1,1,1,1.0
NCT02504905,Propensity to Develop Plasticity in the Parieto-Motor Networks in Dystonia From the Perspective of Abnormal High-Order Motor Processing,Writer's Cramp; Healthy Volunteers; Cervical Dystonia,EARLY_PHASE1,INTERVENTIONAL,DEVICE,TMS,58,2015-08-20,2021-07-25,COMPLETED,National Institute of Neurological Disorders and Stroke (NINDS),58.0,3,1,2166.0,0,DEVICE,2015.0,1,0,0,1.0
NCT02850146,18F-AV-1451 PET Imaging in Participants Enrolled in the LEARN Study,Cognition Disorders,PHASE1,INTERVENTIONAL,DRUG,18F-AV-1451,55,2016-08,2023-09-29,COMPLETED,University of Southern California,55.0,1,1,2615.0,0,DRUG,2016.0,0,0,0,1.0
NCT04462029,A Study to Compare the Pharmacokinetics of BR4002 and BR4002-1 in Healthy Volunteers,Dementia Alzheimers,EARLY_PHASE1,INTERVENTIONAL,DRUG; DRUG,BR4002; BR4002-1,18,2020-06-05,2020-10-07,COMPLETED,"Boryung Pharmaceutical Co., Ltd",18.0,1,2,124.0,1,DRUG,2020.0,0,1,0,1.0
NCT00003956,Combination Chemotherapy in Treating Patients With Advanced Cancer,"Lymphoma; Unspecified Adult Solid Tumor, Protocol Specific",PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG,fluorouracil; leucovorin calcium; lonafarnib,25,1999-04,2001-01,COMPLETED,Memorial Sloan Kettering Cancer Center,25.0,2,3,641.0,0,DRUG,1999.0,1,1,0,1.0
NCT01716897,An Study to Determine the Bioavailability of E2609 Tablets Compared to Capsules and the Effect of Food on Absorption,Alzheimer's Disease,PHASE1,INTERVENTIONAL,DRUG,E2609,18,2012-10,2012-12,COMPLETED,Eisai Inc.,18.0,1,1,61.0,1,DRUG,2012.0,0,0,0,1.0
NCT04046224,"Dose-Ranging Study of ST-920, an AAV2/6 Human Alpha Galactosidase A Gene Therapy in Subjects With Fabry Disease (STAAR)",Fabry Disease,PHASE1; PHASE2,INTERVENTIONAL,BIOLOGICAL,ST-920,33,2019-07-23,2025-04-10,COMPLETED,Sangamo Therapeutics,33.0,1,1,2088.0,1,BIOLOGICAL,2019.0,0,0,0,1.0
NCT00100880,"Lenalidomide in Treating Young Patients With Recurrent, Progressive, or Refractory CNS Tumors",Childhood Atypical Teratoid/Rhabdoid Tumor; Childhood Central Nervous System Germ Cell Tumor; Childhood Choroid Plexus Tumor; Childhood Craniopharyngioma; Childhood Ependymoblastoma; Childhood Grade I Meningioma; Childhood Grade II Meningioma; Childhood Grade III Meningioma; Childhood High-grade Cerebellar Astrocytoma; Childhood High-grade Cerebral Astrocytoma; Childhood Infratentorial Ependymoma; Childhood Low-grade Cerebellar Astrocytoma; Childhood Low-grade Cerebral Astrocytoma; Childhood Medulloepithelioma; Childhood Mixed Glioma; Childhood Oligodendroglioma; Childhood Supratentorial Ependymoma; Recurrent Childhood Brain Tumor; Recurrent Childhood Cerebellar Astrocytoma; Recurrent Childhood Cerebral Astrocytoma; Recurrent Childhood Ependymoma; Recurrent Childhood Medulloblastoma; Recurrent Childhood Pineoblastoma; Recurrent Childhood Subependymal Giant Cell Astrocytoma; Recurrent Childhood Supratentorial Primitive Neuroectodermal Tumor; Recurrent Childhood Visual Pathway and Hypothalamic Glioma,PHASE1,INTERVENTIONAL,DRUG; PROCEDURE; PROCEDURE; OTHER,lenalidomide; perfusion-weighted magnetic resonance imaging; diffusion-weighted magnetic resonance imaging; laboratory biomarker analysis,45,2004-11,2010-11,COMPLETED,National Cancer Institute (NCI),45.0,26,4,2191.0,0,DRUG,2004.0,1,1,0,1.0
NCT03101579,Intrathecal Pemetrexed for Recurrent Leptomeningeal Metastases From Non-small Cell Lung Cancer,Leptomeningeal Metastases,PHASE1,INTERVENTIONAL,DRUG; DRUG; DRUG; DRUG,Pemetrexed; Dexamethasone; Folic Acid; Vitamin B12,13,2017-03-01,2018-09-15,COMPLETED,The First Hospital of Jilin University,13.0,1,4,563.0,0,DRUG,2017.0,0,1,0,1.0
NCT05804383,A Multiple Ascending Dose Study in Healthy Volunteers and Patients With Alzheimer's Disease,Alzheimer's Disease,PHASE1,INTERVENTIONAL,DRUG; DRUG,BMS-984923; Placebo,51,2023-03-28,2025-07-15,COMPLETED,Allyx Therapeutics,51.0,1,2,840.0,1,DRUG,2023.0,0,1,0,1.0
NCT02445794,A First in Human Study of RT001 in Patients With Friedreich's Ataxia,Friedreich's Ataxia,PHASE1; PHASE2,INTERVENTIONAL,DRUG; DRUG,Low dose cohort; High dose cohort,19,2015-08,2016-06,COMPLETED,Biojiva LLC,19.0,1,2,305.0,1,DRUG,2015.0,0,1,0,1.0
NCT01435993,Multiple Doses of Anti-NOGO A in Relapsing Forms of Multiple Sclerosis,"Multiple Sclerosis, Relapsing-Remitting",PHASE1,INTERVENTIONAL,DRUG; OTHER,GSK1223249; Saline placebo,3,2011-09-08,2012-01-23,TERMINATED,GlaxoSmithKline,3.0,1,2,137.0,0,DRUG,2011.0,0,1,0,0.0
